BusID,RouteID,Q,year,RouteDirection,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),AverageTripDuration,OperatingCostPerPassenger
546,10542,1,2024,1,20,116,235.1,1294.6,11.2,103.27,55.52
547,10542,1,2024,2,22,125,213.1,1159.5,9.3,92.1,59.57
548,10543,1,2024,1,0,8,0,97.7,12.2,81.2,39.89
549,10543,1,2024,2,0,8,0,90.9,11.4,75.15,39.68
550,10546,1,2024,1,0,6,0,76.1,12.7,70.02,33.12
551,10546,1,2024,3,0,6,0,63.3,10.5,72.01,40.95
552,10547,1,2024,1,12,81,245,1494.4,18.4,68.72,22.35
553,10547,1,2024,2,11,76,228.1,1414.6,18.6,65.46,21.1
554,10548,1,2024,1,2,13,21.2,122.6,9.4,79.33,50.47
555,10548,1,2024,2,2,13,10.1,67.3,5.2,70.32,81.5
556,10549,1,2024,1,0,6,0,55.5,9.2,99.35,64.44
557,10549,1,2024,2,0,6,0,67,11.2,101.61,54.6
558,10550,1,2024,1,7,42,168.2,871.8,20.8,163.58,47.28
559,10550,1,2024,2,7,43,173.4,896.5,20.8,166.37,47.88
560,10551,1,2024,1,21,112,467.7,2452.9,21.9,71.54,19.6
561,10551,1,2024,2,22,118,417.1,2217.7,18.8,75.16,23.99
562,10552,1,2024,1,3,22,62.1,347.1,15.8,123.82,47.09
563,10552,1,2024,2,4,30,89,493.8,16.5,117.52,42.84
564,10553,1,2024,1,6,30,72.5,362.5,12.1,43.75,21.72
565,10553,1,2024,2,6,30,78.8,394,13.1,47.64,21.76
566,10554,1,2024,1,2,15,35.6,196.5,13.1,136.84,62.67
567,10554,1,2024,3,2,14,35.7,197.4,14.1,147.84,62.91
568,10555,1,2024,1,8,106,155.4,1507.9,14.2,131.6,55.51
569,10555,1,2024,3,8,111,147.7,1439.7,13,132.32,61.21
570,10556,1,2024,1,15,112,281,1891,16.9,84.46,30.01
571,10556,1,2024,3,15,118,227,1628.3,13.8,82.81,36.01
572,10557,1,2024,1,8,75,157.4,1188.7,15.8,98.61,37.33
573,10557,1,2024,2,8,69,147.1,1088.1,15.8,99.7,37.93
574,10558,1,2024,1,4,51,60.8,651.1,12.8,144.81,68.06
575,10558,1,2024,2,5,56,77.7,725.9,13,145.33,67.27
576,10559,1,2024,1,3,25,36.3,357.9,14.3,102.14,42.81
577,10559,1,2024,2,2,19,31.8,329.5,17.3,113.7,39.34
578,10560,1,2024,1,9,93,159.5,1447.8,15.6,124.63,48.03
579,10560,1,2024,2,7,80,146.1,1347.7,16.8,115.28,41.06
580,10561,1,2024,1,50,282,878.4,4842.8,17.2,58.2,20.33
581,10561,1,2024,2,50,287,837.1,4678,16.3,55.17,20.31
582,10564,1,2024,1,6,30,81.9,409.5,13.6,57.09,25.09
583,10564,1,2024,2,4,20,38,190,9.5,54.63,34.5
584,10566,1,2024,1,0,4,1.7,18.8,4.7,74.62,95.26
585,10566,1,2024,2,0,6,0.4,9,1.5,65.69,262.76
586,10567,1,2024,1,70,393,1118,6418.5,16.3,56.28,20.68
587,10567,1,2024,2,73,408,1297,7380.9,18.1,55.57,18.43
588,10570,1,2024,1,2,10,13.7,68.5,6.8,39.7,34.77
