OriginCityName,DestinationCityName,OriginCityName_Latitude,OriginCityName_Longitude,DestinationCityName_Latitude,DestinationCityName_Longitude,WeeklyPassengers,DailyPassengers,BusID,OriginDistrict,DestinationDistrict,Country
ירושלים,ירושלים,31.768318,35.213711,31.768318,35.213711,9078.3,1437.6,5543,Jerusalem,Jerusalem,Israel
ירושלים,ירושלים,31.768318,35.213711,31.768318,35.213711,6958.1,1097.8,5544,Jerusalem,Jerusalem,Israel
תל אביב-יפו,אור יהודה,32.066157,34.777821,32.029747,34.856174,4599.7,856.0,5545,Haifa,Haifa,Israel
אור יהודה,תל אביב-יפו,32.029747,34.856174,32.066157,34.777821,4893.1,926.9,5546,Haifa,Haifa,Israel
בני ברק,חולון,32.084931,34.835228,32.015832,34.787386,14330.2,2631.8,5547,Haifa,Haifa,Israel
חולון,בני ברק,32.015832,34.787386,32.084931,34.835228,14960.7,2775.6,5548,Haifa,Haifa,Israel
בני ברק,רמלה,32.084931,34.835228,31.931565,34.87294,6658.5,1330.8,5549,Haifa,Central,Israel
רמלה,רמת גן,31.931565,34.87294,32.068423,34.824787,5835.5,1167.1,5550,Central,Haifa,Israel
חיפה,טירת כרמל,32.83036,34.974339,32.762126,34.972982,595.4,3.1,5551,Unknown,Unknown,Israel
טירת כרמל,חיפה,32.762126,34.972982,32.83036,34.974339,873.2,0.1,5552,Unknown,Unknown,Israel
פתח תקווה,רחובות,32.08404,34.887764,31.892772,34.811274,15104.5,2794.0,5553,Haifa,Central,Israel
רחובות,פתח תקווה,31.892772,34.811274,32.08404,34.887764,14897.0,2751.6,5554,Central,Haifa,Israel
חיפה,עכו,32.83036,34.974339,32.933051,35.08268,1830.0,355.0,5555,Unknown,Northern,Israel
עכו,חיפה,32.933051,35.08268,32.83036,34.974339,1965.8,376.2,5556,Northern,Unknown,Israel
ראש העין,רעננה,32.095837,34.952179,32.18478,34.871328,181.5,36.3,5557,Haifa,Haifa,Israel
רעננה,ראש העין,32.18478,34.871328,32.095837,34.952179,104.5,20.9,5558,Haifa,Haifa,Israel
ירושלים,ירושלים,31.768318,35.213711,31.768318,35.213711,12744.7,2082.9,5560,Jerusalem,Jerusalem,Israel
חיפה,כאבול,32.83036,34.974339,32.867506,35.213356,82.3,15.2,5561,Unknown,Northern,Israel
כאבול,חיפה,32.867506,35.213356,32.83036,34.974339,97.4,18.3,5562,Northern,Unknown,Israel
ירושלים,ירושלים,31.768318,35.213711,31.768318,35.213711,6828.1,1100.2,5563,Jerusalem,Jerusalem,Israel
כפר סבא,תל אביב-יפו,32.178194,34.907612,32.066157,34.777821,1685.0,337.0,5564,Haifa,Haifa,Israel
תל אביב-יפו,כפר סבא,32.066157,34.777821,32.178194,34.907612,1596.0,319.2,5565,Haifa,Haifa,Israel
כרמיאל,חיפה,32.91467,35.292418,32.83036,34.974339,59.5,11.5,5566,Northern,Unknown,Israel
חיפה,כרמיאל,32.83036,34.974339,32.91467,35.292418,58.1,0.1,5567,Unknown,Northern,Israel
